Test_data,Method_name,Method_name_simple,BlockSize,Sub_BlockSize,SAMEMAlign_Version,Vaild_tests,Q_view,TC_view,SPview,Time_view,Q,TC,SP,Time,Maxmemory,Q_raw,TC_raw,Time_raw,Memory_raw
RNA-255,fftns1-1200,fftns1,1200,100,0.10.0.0,10,0.9926999999999999¡À0.0019000000000000017,0.7787¡À0.02525885983175015,,10.58¡À1.6963784955015198,0.9926999999999999,0.7787,,10.58,326692,"[0.989, 0.994, 0.993, 0.992, 0.994, 0.995, 0.995, 0.992, 0.993, 0.99]","[0.805, 0.785, 0.79, 0.806, 0.793, 0.794, 0.768, 0.777, 0.747, 0.722]","[10.53, 8.73, 8.08, 11.08, 9.58, 11.01, 9.0, 12.07, 13.99, 11.73]","[201912, 176932, 313420, 313564, 221764, 200540, 251348, 299300, 326692, 211176]"
RNA-255,fftns1_highsim-1500,fftns1_highsim,1500,100,0.10.0.0,10,0.9911999999999999¡À0.0019899748742132416,0.8103¡À0.021161521684415773,,3.5189999999999997¡À0.6062746902188808,0.9911999999999999,0.8103,,3.5189999999999997,326876,"[0.987, 0.993, 0.99, 0.989, 0.992, 0.992, 0.994, 0.991, 0.993, 0.991]","[0.848, 0.829, 0.798, 0.817, 0.809, 0.825, 0.789, 0.815, 0.768, 0.805]","[2.75, 2.74, 3.85, 3.74, 3.14, 3.4699999999999998, 4.06, 3.36, 4.85, 3.23]","[179548, 168616, 314884, 317596, 224212, 239388, 291948, 271636, 326876, 251796]"
RNA-255,fftns1-1500,fftns1,1500,100,0.10.0.0,10,0.993¡À0.0014142135623730963,0.7801¡À0.012291867230002132,,8.52¡À1.1890584510443547,0.993,0.7801,,8.52,318992,"[0.99, 0.994, 0.993, 0.992, 0.993, 0.995, 0.995, 0.992, 0.993, 0.993]","[0.797, 0.773, 0.788, 0.786, 0.779, 0.797, 0.775, 0.775, 0.753, 0.778]","[8.17, 7.18, 7.42, 8.74, 7.53, 8.91, 7.65, 8.87, 11.4, 9.33]","[195112, 183596, 318976, 293588, 224188, 223180, 273860, 311640, 318992, 276428]"
RNA-255,fftns1_highsim-20,fftns1_highsim,20,100,0.10.0.0,9,0.7491111111111111¡À0.198254294864194,0.059175555555555565¡À0.05298916537287203,,42.90888888888889¡À4.537286130728232,0.7491111111111111,0.059175555555555565,,42.90888888888889,38944,"[0.929, 0.922, 0.378, 0.598, 0.925, 0.505, 0.851, 0.715, 0.919]","[0.189, 0.0363, 0.00129, 0.0556, 0.0531, 0.0271, 0.0878, 0.00959, 0.0728]","[39.21, 38.03, 51.92, 45.76, 38.29, 44.77, 42.57, 46.91, 38.72]","[34172, 38944, 34900, 34456, 36528, 37828, 34884, 35988, 34424]"
RNA-255,fftns1-20,fftns1,20,100,0.10.0.0,10,0.9909000000000001¡À0.0019209372712298564,0.7701¡À0.023551857676200428,,34.223¡À1.7513197880455753,0.9909000000000001,0.7701,,34.223,269088,"[0.988, 0.993, 0.993, 0.989, 0.989, 0.993, 0.993, 0.991, 0.991, 0.989]","[0.796, 0.752, 0.756, 0.779, 0.749, 0.807, 0.75, 0.804, 0.74, 0.768]","[35.97, 35.31, 31.22, 31.6, 33.15, 34.72, 33.52, 34.55, 36.97, 35.22]","[136080, 109856, 178540, 226584, 99564, 165016, 223804, 205672, 269088, 209344]"
RNA-255,fftns1_highsim-200,fftns1_highsim,200,100,0.10.0.0,10,0.9866999999999999¡À0.0013453624047073723,0.7676000000000001¡À0.03101032086257738,,4.401¡À0.6373766547340748,0.9866999999999999,0.7676000000000001,,4.401,223940,"[0.986, 0.985, 0.985, 0.988, 0.989, 0.988, 0.986, 0.988, 0.986, 0.986]","[0.809, 0.778, 0.745, 0.755, 0.773, 0.783, 0.734, 0.808, 0.706, 0.785]","[3.7, 4.48, 4.47, 4.9, 4.03, 4.71, 5.21, 3.94, 5.33, 3.24]","[65048, 48932, 52992, 45112, 54028, 63276, 42848, 126836, 102868, 223940]"
RNA-255,fftns1-200,fftns1,200,100,0.10.0.0,10,0.9919¡À0.0020223748416156703,0.7791¡À0.028026594513069183,,54.908¡À3.0219688946115904,0.9919,0.7791,,54.908,300356,"[0.991, 0.993, 0.993, 0.988, 0.989, 0.994, 0.995, 0.992, 0.992, 0.992]","[0.82, 0.777, 0.773, 0.805, 0.772, 0.819, 0.753, 0.789, 0.731, 0.752]","[52.5, 57.85, 57.3, 53.0, 51.28, 61.21, 51.6, 55.07, 55.96, 53.31]","[135360, 153972, 233808, 269220, 182364, 206848, 263412, 264448, 300356, 215144]"
RNA-255,fftns1_highsim-2000,fftns1_highsim,2000,100,0.10.0.0,10,0.9936999999999999¡À0.0014866068747318517,0.8163¡À0.020352149763599885,,2.706¡À0.45502087864184876,0.9936999999999999,0.8163,,2.706,305116,"[0.991, 0.995, 0.993, 0.993, 0.995, 0.996, 0.995, 0.993, 0.994, 0.992]","[0.852, 0.834, 0.801, 0.825, 0.813, 0.837, 0.791, 0.818, 0.783, 0.809]","[1.99, 2.11, 2.95, 2.94, 2.49, 2.85, 3.37, 2.57, 3.39, 2.4]","[207512, 163392, 302272, 294340, 234752, 224896, 274528, 263660, 305116, 251552]"
RNA-255,fftns1-2000,fftns1,2000,100,0.10.0.0,10,0.9936999999999999¡À0.0014866068747318517,0.8163¡À0.020352149763599885,,2.6919999999999997¡À0.4439099007681626,0.9936999999999999,0.8163,,2.6919999999999997,305660,"[0.991, 0.995, 0.993, 0.993, 0.995, 0.996, 0.995, 0.993, 0.994, 0.992]","[0.852, 0.834, 0.801, 0.825, 0.813, 0.837, 0.791, 0.818, 0.783, 0.809]","[1.94, 2.17, 2.91, 2.86, 2.55, 2.81, 3.25, 2.57, 3.4699999999999998, 2.39]","[204588, 172360, 300924, 295656, 233076, 229092, 278216, 259260, 305660, 279544]"
RNA-255,fftns1_highsim-300,fftns1_highsim,300,100,0.10.0.0,10,0.9879999999999999¡À0.0034351128074635367,0.787¡À0.018994736112934042,,3.556¡À0.47364965955862365,0.9879999999999999,0.787,,3.556,300124,"[0.984, 0.99, 0.984, 0.983, 0.99, 0.989, 0.993, 0.985, 0.991, 0.991]","[0.799, 0.809, 0.748, 0.776, 0.791, 0.806, 0.781, 0.792, 0.763, 0.805]","[3.55, 3.1, 3.8, 3.59, 2.82, 4.44, 4.11, 3.51, 3.66, 2.98]","[84640, 102284, 66264, 76116, 72660, 77916, 300124, 75240, 179964, 295088]"
